date,vax,SPHM,TH,CC,CD,VAX100,TH100,CC100,CD100,evidence_rate,country_source_rate,neutral_frame_rate,moderate_frame_rate,dangerous_frame_rate,neutral_measure_rate,mitigation_measure_rate,suppression_measure_rate,source_rate,neutral_emotion_rate,negative_emotion_rate,positive_emotion_rate,evidence_full
2021-01-05,9317,61.79,2776,7546,93,8.239618985530866,100,14.004936805181789,76.85950413223141,31.68316831683168,0,30.693069306930692,14.85148514851485,54.45544554455446,71.28712871287128,14.85148514851485,13.861386138613863,15.841584158415834,56.43564356435643,42.57425742574257,0.9900990099009901,45.54455445544555
2021-01-07,9317,63.57,2700,7148,103,8.239618985530866,97.26224783861672,13.26627196971103,85.12396694214877,71.19565217391303,6.106870229007625,60.86956521739131,8.152173913043478,30.978260869565215,54.347826086956516,29.347826086956523,16.304347826086957,17.391304347826093,77.71739130434783,20.108695652173914,2.1739130434782608,79.34782608695652
2021-01-12,9317,63.57,2613,5334,89,8.239618985530866,94.12824207492795,9.899593548746312,73.55371900826447,28.21782178217822,14.035087719298245,66.33663366336634,1.4851485148514851,32.17821782178218,65.34653465346535,31.683168316831683,2.9702970297029703,7.920792079207918,67.82178217821783,25.742574257425744,6.435643564356436,35.64356435643564
2021-01-14,9317,63.57,2505,4743,95,8.239618985530866,90.23775216138328,8.802731946326164,78.51239669421489,53.78486055776889,8.148148148148133,43.02788844621514,6.772908366533864,50.199203187250994,80.47808764940238,11.553784860557768,7.968127490039841,19.521912350597606,51.79282868525896,44.6215139442231,3.5856573705179287,66.53386454183267
2021-01-26,15659,63.57,1927,4186,67,13.981999601600839,69.4164265129683,7.768972365026633,55.371900826446286,38.59649122807016,18.18181818181819,71.9298245614035,5.263157894736842,22.807017543859647,72.80701754385966,21.929824561403507,5.263157894736842,11.403508771929829,82.45614035087719,12.280701754385964,5.263157894736842,48.24561403508772
2021-01-28,14629,63.57,1829,2368,55,13.04938338675504,65.88616714697406,4.394870176871253,45.45454545454545,35.49783549783551,6.097560975609755,62.33766233766234,8.658008658008658,29.004329004329005,70.56277056277057,25.108225108225106,4.329004329004329,12.987012987012985,70.12987012987013,19.480519480519483,10.38961038961039,45.45454545454545
2021-02-02,13448,63.57,1583,4315,43,11.980043823907572,57.02449567723343,8.008388856925446,35.53719008264463,48.40425531914892,12.08791208791211,74.46808510638297,4.25531914893617,21.27659574468085,50,39.8936170212766,10.106382978723403,15.425531914893623,74.46808510638297,19.148936170212767,6.382978723404255,57.446808510638306
2021-02-04,13812,63.57,1482,3396,30,12.309628583328806,53.38616714697406,6.302778344871104,24.793388429752067,40,1.6129032258064528,42.58064516129032,18.70967741935484,38.70967741935484,55.483870967741936,33.5483870967742,10.967741935483872,9.677419354838714,65.16129032258064,25.806451612903224,9.032258064516128,49.03225806451613
2021-02-09,15092,63.55,1374,4069,25,13.468607957117761,49.4956772334294,7.551827174699802,20.66115702479339,35.359116022099485,10.9375,62.430939226519335,20.441988950276244,17.12707182320442,54.69613259668509,38.67403314917127,6.629834254143646,12.707182320441976,78.45303867403315,8.83977900552486,12.70718232044199,44.19889502762431
2021-02-18,19923,64.42,1234,4134,18,17.842849640535306,44.45244956772335,7.672463391548042,14.87603305785124,55.357142857142904,5.376344086021509,56.547619047619044,4.166666666666666,39.285714285714285,54.166666666666664,38.095238095238095,7.738095238095238,8.333333333333329,73.21428571428571,17.261904761904763,9.523809523809524,61.30952380952381
2021-02-23,22249,64.39,1262,5404,13,19.948932471342424,45.461095100864554,10.029509474582877,10.743801652892563,38.211382113821145,12.765957446808512,62.601626016260155,9.75609756097561,27.64227642276423,60.16260162601627,34.146341463414636,5.691056910569105,9.756097560975604,71.54471544715447,26.01626016260163,2.4390243902439024,47.15447154471545
2021-02-25,22327,64.39,1234,4830,20,20.01955777693269,44.45244956772335,8.964198882723037,16.528925619834713,37.6190476190476,0,54.761904761904766,12.380952380952381,32.857142857142854,48.57142857142857,46.666666666666664,4.761904761904762,7.142857142857142,64.76190476190476,20.476190476190474,14.761904761904763,42.857142857142854
2021-03-02,23812,64.37,1337,6189,23,21.364154941055034,48.1628242074928,11.486423785750079,19.00826446280992,42.85714285714285,5.128205128205125,51.64835164835166,4.395604395604396,43.956043956043956,59.34065934065934,35.16483516483517,5.4945054945054945,23.076923076923073,67.03296703296702,29.67032967032967,3.296703296703297,63.73626373626373
2021-03-04,25180,64.37,1340,4883,19,22.60281414679198,48.27089337175792,9.062563797999294,15.702479338842975,45.1428571428571,7.594936708860753,52,10.285714285714285,37.714285714285715,58.857142857142854,24,17.142857142857142,17.14285714285714,68.57142857142857,25.71428571428571,5.714285714285714,57.714285714285715
2021-03-09,28509,64.36,1410,5928,20,25.61706597127904,50.79250720461095,11.002022976559456,16.528925619834713,40.88397790055245,10.810810810810827,58.011049723756905,6.077348066298343,35.91160220994475,55.80110497237569,32.04419889502763,12.154696132596685,16.57458563535912,70.1657458563536,26.519337016574585,3.314917127071823,51.93370165745856
2021-03-11,29787,63.17,1390,5332,16,26.77423443979645,50.07204610951008,9.89588166515098,13.223140495867769,42.20532319391638,0,56.27376425855514,16.34980988593156,27.376425855513308,61.21673003802282,34.98098859315589,3.802281368821293,22.053231939163496,66.15969581749049,19.39163498098859,14.44866920152091,57.414448669201526
2021-03-16,29792,63.16,1536,6786,15,26.778761702975316,55.3314121037464,12.594421038956218,12.396694214876034,38.647342995169055,10.00000000000001,71.01449275362319,6.280193236714976,22.705314009661837,51.690821256038646,43.47826086956522,4.830917874396135,25.120772946859894,72.94685990338165,23.18840579710145,3.864734299516908,57.00483091787439
