variable,QC_Model1,QC_Model2,SE_Model1,SE_Model2
CC100,1.066080583789634,1.0406020343781328,1.1354077459419434,1.0770821781407423
CD100,1.2404201541318594,2.098165816144421,1.375310550200244,1.1982412122342243
dangerous_frame_rate,1.5328413472667448,1.4982145331497778,1.147259132133853,1.167413369276934
moderate_frame_rate,1.5722753243526446,1.5375271424624275,1.2185517247282815,1.2250919897490558
evidence_full,1.0634559289288477,1.045422471939571,1.0755612271441155,1.1727651258406029
"lag(mitigation_measure_rate, 1)",1.2024022207743468,0,1.4704769840237684,0
"lag(stringencyPHM, 1)",0,1.8195335899164489,0,0
"lag(SPHM, 1)",0,0,0,1.1630915855378576
